anime_id,status,type,episodes,start_year,rating,source,genres,themes,demographics
5114,finished_airing,tv,64.0,2009.0,r,manga,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Military'],['Shounen']
11061,finished_airing,tv,148.0,2011.0,pg_13,manga,"['Action', 'Adventure', 'Fantasy']",[],['Shounen']
38524,finished_airing,tv,10.0,2019.0,r,manga,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen']
9253,finished_airing,tv,24.0,2011.0,pg_13,visual_novel,"['Drama', 'Sci-Fi', 'Suspense']","['Psychological', 'Time Travel']",[]
28851,finished_airing,movie,1.0,2016.0,pg_13,manga,['Drama'],['Romantic Subtext'],['Shounen']
32281,finished_airing,movie,1.0,2016.0,pg_13,original,"['Drama', 'Supernatural']",['Romantic Subtext'],[]
2904,finished_airing,tv,25.0,2008.0,r,original,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'Super Power']",[]
40028,finished_airing,tv,16.0,2021.0,r,manga,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen']
199,finished_airing,movie,1.0,2001.0,pg,original,"['Adventure', 'Award Winning', 'Supernatural']",['Mythology'],[]
1575,finished_airing,tv,25.0,2006.0,r,original,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'School', 'Super Power']",[]
1535,finished_airing,tv,37.0,2006.0,r,manga,"['Supernatural', 'Suspense']",['Psychological'],['Shounen']
40748,finished_airing,tv,24.0,2020.0,r,manga,"['Action', 'Fantasy']",['School'],['Shounen']
23273,finished_airing,tv,22.0,2014.0,pg_13,manga,"['Drama', 'Romance']","['Music', 'School']",['Shounen']
35760,finished_airing,tv,12.0,2018.0,r,manga,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen']
21,currently_airing,tv,,1999.0,pg_13,manga,"['Action', 'Adventure', 'Fantasy']",[],['Shounen']
1,finished_airing,tv,26.0,1998.0,r,original,"['Action', 'Sci-Fi']","['Adult Cast', 'Space']",[]
16498,finished_airing,tv,25.0,2013.0,r,manga,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen']
38000,finished_airing,tv,26.0,2019.0,r,manga,"['Action', 'Fantasy']",['Historical'],['Shounen']
37510,finished_airing,tv,13.0,2019.0,pg_13,web_manga,"['Action', 'Comedy', 'Supernatural']",['Super Power'],[]
30276,finished_airing,tv,12.0,2015.0,r,web_manga,"['Action', 'Comedy']","['Parody', 'Super Power']",['Seinen']
32935,finished_airing,tv,10.0,2016.0,pg_13,manga,['Sports'],"['School', 'Team Sports']",['Shounen']
33352,finished_airing,tv,13.0,2018.0,pg_13,light_novel,"['Drama', 'Fantasy', 'Slice of Life']",[],[]
25777,finished_airing,tv,12.0,2017.0,r,manga,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen']
4181,finished_airing,tv,24.0,2008.0,pg_13,visual_novel,"['Drama', 'Romance', 'Supernatural']",[],[]
37779,finished_airing,tv,12.0,2019.0,r,manga,"['Mystery', 'Sci-Fi', 'Suspense']","['Psychological', 'Survival']",['Shounen']
28891,finished_airing,tv,25.0,2015.0,pg_13,manga,['Sports'],"['School', 'Team Sports']",['Shounen']
431,finished_airing,movie,1.0,2004.0,g,novel,"['Adventure', 'Drama', 'Fantasy', 'Romance']",[],[]
